berg_id,date,lat,lon,size_1,size_2,gap_days,u_berg,v_berg,u_wind,v_wind,u_curr,v_curr,prev_u,prev_v,prev_speed
a56,2015-11-06,-59.6,-45.2333,14.0,7.0,7,0.0155172911018849,0.0,3.652587890625,6.051422119140625,0.3228858299553394,-0.1428266242146492,0.0047651298536877,-0.1432035069444451,0.14328276541060425
b15k,2015-11-06,-65.0667,-57.2667,16.0,3.0,7,-0.0025838544371657,-0.0091410383597878,-1.225341796875,0.119781494140625,0.0158696249127388,0.0048829615116119,0.0307068041691233,0.0517931233465602,0.06021158898644751
b09i,2015-12-04,-65.5,139.65,12.0,6.0,7,0.0050911302467346,0.0121941451719571,-12.608154296875,10.774078369140623,-0.1263466291129589,-0.0061037018895149,-0.0101681197703182,0.0030531068121693,0.010616596482397286
b09f,2015-12-04,-74.6833,-28.2,21.0,8.0,7,-0.0364653312588611,0.0030348247354491,-0.617919921875,1.970367431640625,-0.0274666585028171,0.0164799951016902,-0.0322429366223799,0.0152472519841265,0.03566630980494417
b16,2015-12-04,-74.15,-32.8667,16.0,6.0,7,0.034354974774672,-0.0426520849867724,2.295166015625,4.729156494140625,-0.0555436871945858,0.0415051728487014,-0.0279886347564408,-0.0365641534391539,0.04604672618386063
b30,2015-12-04,-73.8333,-131.4667,31.0,18.0,7,-0.0111004473893967,0.0243700082671941,-7.580810546875,1.714508056640625,-0.0115970335900783,-0.0286873988807201,-0.0042526680481729,0.0152472519841291,0.015829209664271916
a57,2015-12-04,-71.85,-58.0333,11.0,5.0,7,-0.0487356169235347,0.0609341617063481,5.801025390625,1.814117431640625,-0.0189214758574962,0.0146488845348358,0.0191836997632225,-0.0121941451719571,0.022731289296479152
b15r,2015-12-04,-58.9667,-24.1833,10.0,2.0,7,-0.0189780047374524,0.1066576355820114,4.168212890625,-0.144866943359375,0.0250251777470111,-0.1422162540256977,0.0246900786841528,-0.2590021808862444,0.2601763434466334
a56,2015-12-04,-58.5333,-43.5667,14.0,7.0,7,0.081668255491124,-0.0061062136243386,1.457275390625,6.291656494140625,0.0445570237934589,0.2294991910457611,0.0507515718546754,0.0609524437830696,0.07931533552125049
b15x,2015-12-04,-58.0833,-43.5667,10.0,7.0,7,-0.1021758663715144,0.1035862466931218,0.019775390625,5.777008056640625,0.0988799706101417,0.1770073547959327,-0.0175875967137975,0.0944634904100529,0.09608680751600263
b34,2015-12-04,-75.65,-161.1667,15.0,5.0,7,-0.0167237335370638,0.0396172602513233,4.273681640625,9.293609619140623,-0.0274666585028171,0.0488296151161193,-0.0453248943519793,0.0609341617063481,0.07594286082887228
b15t,2015-12-04,-74.8333,-26.5,28.0,7.0,7,-0.0096311042448081,-0.0091410383597904,-0.542724609375,2.701812744140625,-0.0146488845348358,-0.0048829615116119,-0.0248552022530003,0.0030531068121693,0.025042015498838464
b31,2015-12-04,-71.6,-108.6833,18.0,11.0,7,-0.0329244930297048,0.0030531068121693,-10.207763671875,-0.201507568359375,0.0268562883138656,-0.0317392498254776,-0.0086766974674394,0.0152289699074089,0.01752731021526792
b09d,2015-12-04,-74.2667,-30.6667,22.0,6.0,7,0.0083199841422219,-0.0243700082671967,2.643798828125,4.175445556640625,-0.0695822015404701,0.0445570237934589,-0.008380120419868,-0.021335183531745,0.022921964893628376
d21a,2015-12-04,-70.2833,-4.35,21.0,5.0,7,-0.0010370122883454,0.0,1.082275390625,0.069000244140625,-0.0433362834155559,0.0115970335900783,-0.0155493092956888,-0.0060879315476184,0.016698620604753002
b30,2015-12-11,-73.7,-131.6833,31.0,18.0,7,0.0111895022930351,0.0091410383597878,-7.622802734375,1.699859619140625,-0.0201422162353992,-0.032349620014429,-0.0111004473893967,0.0243700082671941,0.026779044702675128
a56,2015-12-11,-58.5667,-42.7167,14.0,7.0,7,0.1039942295713566,-0.0060879315476197,2.055908203125,6.462554931640625,0.0976592302322387,-0.1800592057406902,0.081668255491124,-0.0061062136243386,0.08189621358640192
b09d,2015-12-11,-74.4,-30.5,22.0,6.0,7,-0.0272236854116902,0.0121941451719597,2.689697265625,3.786773681640625,-0.0439466536045074,0.0286873988807201,0.0083199841422219,-0.0243700082671967,0.025751105589276343
b31,2015-12-11,-71.5833,-109.25,18.0,11.0,7,-0.0222887156116244,0.0213169014550248,-9.706787109375,0.025054931640625,0.0213629566133022,-0.0030518509447574,-0.0329244930297048,0.0030531068121693,0.03306574817646797
b15t,2015-12-11,-74.8833,-26.7,28.0,7.0,7,-0.0096000948473583,0.006087931547621,-1.050537109375,2.457672119140625,-0.0128177739679813,0.0012207403779029,-0.0096311042448081,-0.0091410383597904,0.013278431807616446
b15z,2015-12-11,-74.1,-26.9833,16.0,8.0,7,0.0235283823229349,-0.0213351835317476,0.615478515625,2.334625244140625,-0.0524918362498283,0.0250251777470111,0.0246243871609728,-0.0304762218915328,0.039181124841375155
b15r,2015-12-11,-58.3833,-24.3833,10.0,2.0,7,-0.0048245489484358,-0.2650901124338629,2.866455078125,-0.675140380859375,0.0018311105668544,0.0018311105668544,-0.0189780047374524,0.1066576355820114,0.1083328938585133
b16,2015-12-11,-74.3833,-32.1833,16.0,6.0,7,0.0305520858543535,-0.0182820767195756,2.808837890625,4.371734619140625,-0.0115970335900783,-0.0329599902033805,0.034354974774672,-0.0426520849867724,0.05476736843675442
b15x,2015-12-11,-57.5167,-44.6167,10.0,7.0,7,0.2026436687576434,0.1980680191798937,-2.389404296875,5.436187744140625,0.0823999755084514,0.0653096102178096,-0.1021758663715144,0.1035862466931218,0.1454992033405608
